"   ","LEG_NO","MASTER_FLIGHT_NO","ACTUAL_DEPARTURE_DT","ACTUAL_ARRIVAL_DT","AC_REG_CD","ASSMBL_CD","LOC_CD","LOC_CD"
"194","QFA0706","QFA0706","23/04/2019 8:44:00 PM","23/04/2019 10:13:00 PM","VH-VYA","N37","CBR","ADL"
"195","QFA0682","QFA0682","23/04/2019 1:39:00 AM","23/04/2019 2:50:00 AM","VH-VYA","N37","MEL","ADL"
"196","QFA0620","QFA0620","23/04/2019 4:09:00 AM","23/04/2019 6:13:00 AM","VH-VYA","N37","BNE","MEL"
"197","QFA0545","QFA0545","23/04/2019 7:01:00 AM","23/04/2019 8:21:00 AM","VH-VYA","N37","SYD","BNE"
"198","QFA0597","QFA0597","23/04/2019 7:38:00 AM","23/04/2019 12:34:00 PM","VH-VZU","N37","PER","BNE"
"199","QFA0576","QFA0576","23/04/2019 11:26:00 PM","24/04/2019 3:30:00 AM","VH-VZU","N37","SYD","PER"
"200","QFA0090","QFA0090","23/04/2019 3:05:00 AM","23/04/2019 5:30:00 AM","VH-VZU","N37","BNE","NOU"
"201","QFA0089","QFA0089","23/04/2019 12:06:00 AM","23/04/2019 2:18:00 AM","VH-VZU","N37","NOU","BNE"
"202","QFA0596","QFA0596","23/04/2019 2:04:00 AM","23/04/2019 6:47:00 AM","VH-VZG","N37","BNE","PER"
"203","QFA0154","QFA0154","23/04/2019 9:55:00 PM","24/04/2019 1:49:00 AM","VH-VZG","N37","MEL","AKL"
"204","QFA0125","QFA0125","23/04/2019 8:29:00 AM","23/04/2019 11:33:00 AM","VH-VZG","N37","AKL","BNE"
"205","QFA0723","QFA0723","23/04/2019 1:31:00 AM","23/04/2019 3:19:00 AM","VH-VXI","N37","ASP","ADL"
"206","QFA0722","QFA0722","23/04/2019 4:03:00 AM","23/04/2019 5:58:00 AM","VH-VXI","N37","ADL","ASP"
"207","QFA0719","QFA0719","23/04/2019 9:09:00 AM","23/04/2019 1:29:00 PM","VH-VXI","N37","PER","CBR"
